LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
211,4277,143379,110,23,44,108.0,21.2,43.5,13.3,"£43,426"
211,4284,137789,66,10,25,65.0,8.9,23.7,15.3,"£43,897"
211,4296,100972,63,27,30,58.0,18.0,27.3,13.5,"£44,887"
211,4297,100973,97,41,31,91.0,34.2,26.5,13.7,"£46,350"
211,4298,133289,117,26,36,111.0,22.7,33.7,5.2,"£44,857"
211,4505,100974,95,43,30,91.4,37.7,28.4,11.9,"£46,086"
211,4507,100975,120,35,42,114.7,32.4,37.3,13.1,"£45,717"
211,4722,100977,124,36,33,121.0,30.3,31.6,11.9,"£41,513"
211,4726,100978,117,26,36,111.0,22.7,33.7,8.1,"£44,857"
211,5400,100979,50,12,20,46.4,11.0,19.4,12.0,"£49,007"
212,2000,139592,12,15,4,11.7,12.8,3.1,21.2,"£46,352"
212,2001,139687,10,9,3,8.1,6.6,2.0,13.8,"£37,225"
212,2002,139775,NA,NA,NA,NA,NA,NA,NA,NA
212,2003,140222,2,3,1,2.0,1.4,1.0,16.0,SUPP
212,2004,100995,27,10,7,24.6,7.5,7.0,14.2,"£41,561"
212,2005,134041,23,21,7,22.3,17.1,6.1,21.3,"£38,215"
212,2006,140423,7,7,3,6.2,7.0,2.6,22.0,"£40,353"
212,2007,140682,13,7,8,11.8,4.9,5.1,16.2,"£45,279"
212,2010,100996,27,21,5,23.3,15.7,4.0,15.9,"£40,536"
212,2034,100997,30,23,5,24.1,14.6,4.6,17.1,"£42,357"
212,2040,137563,57,37,15,52.9,25.8,14.2,16.8,"£41,894"
212,2063,141303,20,17,6,20.0,15.2,5.9,18.3,"£31,897"
212,2064,101001,24,26,9,21.3,14.6,4.3,16.4,"£37,820"
212,2067,101002,26,15,12,25.4,11.3,9.7,15.9,"£45,110"
212,2107,101003,33,13,8,31.0,10.8,7.8,14.5,"£41,137"
212,2180,101005,36,25,6,31.2,18.8,5.7,14.3,"£42,639"
212,2211,101006,20,18,8,19.2,11.9,7.5,15.7,"£40,879"
212,2217,101007,27,24,6,25.4,16.4,4.6,16.3,"£40,802"
212,2231,101008,32,33,16,28.3,22.8,10.2,16.2,"£38,787"
212,2237,101009,29,35,13,27.8,26.4,8.4,15.2,"£41,572"
212,2301,101010,21,14,10,18.8,9.4,8.7,18.6,"£39,293"
212,2314,101013,24,20,3,23.0,14.3,1.7,17.8,"£40,400"
212,2334,101014,15,16,5,13.9,13.3,4.9,15.0,"£39,162"
212,2467,101016,36,31,16,32.3,20.9,12.9,19.1,"£41,646"
212,2495,101017,26,21,7,22.7,16.4,6.9,17.3,"£40,513"
212,2511,101018,27,17,5,26.0,14.6,4.0,13.1,"£36,126"
212,2541,101019,32,26,15,27.1,19.5,10.4,14.6,"£38,104"
